エンティティ名,,,システム名,,,,,作成者,承認者,作成日
クーポンM,,,,,,,,,,
テーブル名,,,スキーマ,,,,,,,
CPN_M,,,ECBO,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
No.,論　理　名,物　理　名,型,長さ,精度,必須,主キー,備　考,,
1,クーポンID,CPN_ID,INT UNSIGNED,0,0,Y,1,,,
2,クーポンコード,CPN_CD,VARCHAR,30,0,Y,,,,
3,クーポン効力,CPN_ST,VARCHAR,1,0,Y,,ブール値,,
4,タイトル,CPN_TITLE,VARCHAR,2000,0,Y,,,,
5,クーポンクラス,CPN_CLS,VARCHAR,1,0,Y,,クーポンクラス,,
6,クーポン値引タイプ,CPN_DISCNT_TYPE,VARCHAR,1,0,Y,,クーポン値引タイプ,,
7,ベンダー仕切クーポン,VNDR_CPN,VARCHAR,1,0,Y,,ブール値,,
8,使用回数制限,USE_LIMIT,INT UNSIGNED,0,0,Y,,,,
9,有効期限開始日時,START_DT,DATETIME,0,0,Y,,,,
10,有効期限終了日時,EXPIRATION_DT,DATETIME,0,0,,,,,
11,割引額,DSCNT,DECIMAL,20,2,,,,,
12,割引率,DSCNT_RATE,DECIMAL,5,2,,,,,
13,対象製品条件,TRGT_PRD_CNDTN,VARCHAR,2000,0,,,,,
14,対象除外製品条件,EXCLD_PRD_CNDTN,VARCHAR,2000,0,,,,,
,,,,,,,,,,
,主キー,PK_クーポンM,,,,,,CPN_ID,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
